No.,Material,Form,Present,Ch.,Ancient,x,Unit
202,Bronze,33-40,630.6,*,629.,5,125.8
203,Limestone,27,2506.6,,2520,20,126.0
204,Limestone,14,756.5,,756.0,6,126.0
205,Lead,63,385.4,36,378,3,126.
206,Bronze,25,20.8,5,21.0,½,126.
207,"Basalt, br.",38,1259.2,,1261.6,10,126.2
208,Limestone,31,249.9,,252.5,2,126.2
209,"Basalt, bl.",36,63.1,,63.1,1,126.2
210,"Basalt, br.",12-27,252.9,,252.9,2,126.5
211,Bronze,37,121.0,,126.5,1,126.5
212,"Basalt, br.",33,1517.1,,1519.3,12,126.6
213,"Bronze, L.",33,1281.0,,1247,10,126.7
214,Alabaster,23-27,252.2,,253.4,2,126.7
215,"Basalt, bl.",12,2527.2,,2536,20,126.8
216,Alabaster,30,126.5,,126.8,1,126.8
217,Limestone,18-23,126.8,,126.8,1,126.8
218,"Basalt, br.",38-41,761.6,,761.6,6,127.0
219,Bronze,25,128.4,4,127.,1,127.
220,Limestone,78,1906.3,,1906.9,15,127.1
221,Bronze,33-40,611.7,24,630,5,127.2
222,Bronze,83-84,22.6,1.4,21.2,½,127.2
223,Bronze,26,10.9,,10.6,¼,127.2
224,"Basalt, gn.",33,7633,,7636,60,127.3
225,"Syenite, bl.",27-33,254.6,,254.6,2,127.3
226,Alabaster,18-27,254.9,,254.9,2,127.5
227,Limestone,6,255.3,,255.3,2,127.7
228,Alabaster,18-27,639.0,,639.0,5,127.8
229,Alabaster,18,638.8,,638.1,5,127.8
230,Bronze,66,656.0,16,640,5,128.0
231,Harmatite,1-2,128.0,,128.0,1,128.0
232,Bronze,43,128.7,21,128.,1,128.
233,Bronze,25,0.0,10,16?,1,128?
234,"Basalt, bl.",12,1281.2,,1283.0,10,128.3
235,"Basalt, br.",14-19,641.0,,641.7,5,128.3
236,"Syenite, bl.",27-37,1537.1,,154.1,12,128.4
237,Bronze,33,659.0,23,642,5,128.4
238,Limestone,79,1283.7,,1285.2,10,128.5
239,Bronze,13-25,65.8,1.5,64.3,½,128.6
240,"Basalt, br.",11,638.4,,643.5,5,128.7
241,Bronze,66,388.6,,386,3,128.7
242,"Basalt, br.",33-40,259.4,,259.4,2,128.7
243,Limestone,64,128.7,,128.7,1,128.7
244,Bronze,40,764.5,,773,6,128.8
245,Bronze,40,634.6,,644,5,128.8
246,Limestone,14,1285.1,,1289,10,128.9
247,"Basalt, bl.",27,128.9,,128.9,1,128.9
248,Bronze,37,139.9,60,129,1,129.
249,"Basalt, bl.",23-27,2578.1,,2582,20,129.1
250,Limestone,33,"30,970",,"31,020",240,129.3
251,"Basalt, br.",38,646.5,,646.5,5,129.3
252,Limestone,27-33,127.7,,129.5,1,129.5
253,Limestone,13,1296.1,,1296.0,10,129.6
254,Bronze,25-29,11.1,3,10.8,¼,129.6
255,Sandstone,2,"15,550",,"15,570",120,129.8
256,"Basalt, br.",33-37,1297.9,,1298.0,10,129.8
257,"Basalt, bl.",27,129.9,,129.9,1,129.9
258,Bronze,57,130.2,21,130.0,1,130.0
259,Bronze,33,121.4,9,139.,1,130.
